2021-12-10 16:35:01,434 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57176)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
2021-12-10 16:35:01,435 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57178), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139701.4334705, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:35:01,436 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139701.0501502, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57176)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:01,940 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57178)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
2021-12-10 16:35:01,942 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139701.4334705, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57178)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:29,587 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:30,141 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,141 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:35:30,141 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:35:30,142 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,145 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57192), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139730.1414044, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,507 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,507 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:35:30,507 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:35:30,508 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,509 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57192)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
2021-12-10 16:35:30,510 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57194), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139730.5075014, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,510 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139730.1414044, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57192)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:30,811 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,812 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:35:30,812 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:35:30,814 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=11, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57194)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
2021-12-10 16:35:30,814 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,817 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139730.5075014, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=11, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57194)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:30,817 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57196), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139730.8125417, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,864 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,864 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:35:30,864 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:35:30,866 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,866 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57196)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
